tick, C0 sequence, C0 pattern, C0 pattern name, C0 row, C0 note, C1 sequence, C1 pattern, C1 pattern name, C1 row, C1 note
166, 2, 8, left 4, 38,  39:    |, 2, 9, right 4, 38,  39: A#1 I2 26
167, 2, 8, left 4, 39,  40:    |, 2, 9, right 4, 39,  40:    |
168, 2, 8, left 4, 40,  41: A#3 I1 48, 2, 9, right 4, 40,  41:    |
169, 2, 8, left 4, 41,  42:    |, 2, 9, right 4, 41,  42:    |
170, 2, 8, left 4, 42,  43: C-4 I1 46, 2, 9, right 4, 42,  43:    |
171, 2, 8, left 4, 43,  44:    |, 2, 9, right 4, 43,  44:   ---
172, 2, 8, left 4, 44,  45: C#4 I1 45, 2, 9, right 4, 44,  45:    |
173, 2, 8, left 4, 45,  46:    |, 2, 9, right 4, 45,  46:    |
174, 2, 8, left 4, 46,  47: A#3 I1 48, 2, 9, right 4, 46,  47:    |
175, 2, 8, left 4, 47,  48:    |, 2, 9, right 4, 47,  48:    |
176, 2, 8, left 4, 48,  49:    |, 2, 9, right 4, 48,  49: G#1 I2 30
177, 2, 8, left 4, 49,  50:    |, 2, 9, right 4, 49,  50:    |
178, 2, 8, left 4, 50,  51: D#4 I1 44, 2, 9, right 4, 50,  51:    |
179, 2, 8, left 4, 51,  52:    |, 2, 9, right 4, 51,  52:    |
180, 2, 8, left 4, 52,  53: F-4 I1 42, 2, 9, right 4, 52,  53:    |
181, 2, 8, left 4, 53,  54:    |, 2, 9, right 4, 53,  54:   ---
182, 2, 8, left 4, 54,  55: D#4 I1 44, 2, 9, right 4, 54,  55: G#1 I2 30
183, 2, 8, left 4, 55,  56:    |, 2, 9, right 4, 55,  56:    |
184, 2, 8, left 4, 56,  57:    |, 2, 9, right 4, 56,  57:    |
185, 2, 8, left 4, 57,  58:    |, 2, 9, right 4, 57,  58:    |
186, 2, 8, left 4, 58,  59:    |, 2, 9, right 4, 58,  59:    |
187, 2, 8, left 4, 59,  60:   ---, 2, 9, right 4, 59,  60:   ---
188, 2, 8, left 4, 60,  61: G#3 I1 50, 2, 9, right 4, 60,  61:    |
189, 2, 8, left 4, 61,  62: G#3 I1 50, 2, 9, right 4, 61,  62:    |
190, 2, 8, left 4, 62,  63: G#3 I1 50, 2, 9, right 4, 62,  63:    |
191, 2, 8, left 4, 63,  64: A#3 I1 48, 2, 9, right 4, 63,  64:    |
192, 3, 0, left 5, 0,   1: F-4 I1 42, 3, 1, right 5, 0,   1: F#2 I2 16
193, 3, 0, left 5, 1,   2:    |, 3, 1, right 5, 1,   2:    |
194, 3, 0, left 5, 2,   3:    |, 3, 1, right 5, 2,   3:    |
195, 3, 0, left 5, 3,   4: F-4 I1 42, 3, 1, right 5, 3,   4:    |
196, 3, 0, left 5, 4,   5:    |, 3, 1, right 5, 4,   5:    |
197, 3, 0, left 5, 5,   6:    |, 3, 1, right 5, 5,   6:   ---
198, 3, 0, left 5, 6,   7: D#4 I1 44, 3, 1, right 5, 6,   7: G#2 I2 14
199, 3, 0, left 5, 7,   8:    |, 3, 1, right 5, 7,   8:    |
200, 3, 0, left 5, 8,   9:    |, 3, 1, right 5, 8,   9:    |
201, 3, 0, left 5, 9,  10:    |, 3, 1, right 5, 9,  10:    |
202, 3, 0, left 5, 10,  11:    |, 3, 1, right 5, 10,  11:    |
203, 3, 0, left 5, 11,  12:    |, 3, 1, right 5, 11,  12:   ---
204, 3, 0, left 5, 12,  13: G#3 I1 50, 3, 1, right 5, 12,  13:    |
205, 3, 0, left 5, 13,  14: G#3 I1 50, 3, 1, right 5, 13,  14:    |
206, 3, 0, left 5, 14,  15: A#3 I1 48, 3, 1, right 5, 14,  15:    |
207, 3, 0, left 5, 15,  16: G#3 I1 50, 3, 1, right 5, 15,  16:    |
208, 3, 0, left 5, 16,  17: D#4 I1 44, 3, 1, right 5, 16,  17: F-2 I2 17
209, 3, 0, left 5, 17,  18:    |, 3, 1, right 5, 17,  18:    |
210, 3, 0, left 5, 18,  19:    |, 3, 1, right 5, 18,  19:    |
211, 3, 0, left 5, 19,  20: D#4 I1 44, 3, 1, right 5, 19,  20:    |
212, 3, 0, left 5, 20,  21:    |, 3, 1, right 5, 20,  21:    |
213, 3, 0, left 5, 21,  22:    |, 3, 1, right 5, 21,  22:   ---
